⌚	наручний годинник	годинник|наручний годинник
😏	самовдоволене обличчя	бос|люблю|не дуже|обличчя|посмішка|самовдоволення|себе|сумніваюсь|так собі|усмішка|ух-ти|ухти|цікаво
😐	обличчя з нейтральним виразом	без емоцій|все одно|заздрість|не згоден|не скажу|невражений|незадоволення|незворушний|нейтральний|нехай|ні|обличчя
😑	обличчя без емоцій	без емоцій|все одно|заздрісний|невиразний|невражений|нехай|ну й добре|обличчя
😒	невдоволене обличчя	все одно|заздрість|невдоволене|незадоволений|нещасливий|нудно|обличчя|розчарований|фу
😓	понурене обличчя в поту	болить|голова|знервований|краплі|наляканий|нерви|обличчя|піт|понурений|розчарований|сум|холодний
😔	замислене обличчя	задумливий|замислене обличчя|занепокоєння|засмучений|обличчя|роздуми|розчарований
😕	спантеличене обличчя	аякже|гм|не задоволений|не знаю|невдоволений|ні|обличчя|спантеличений|сумний
😖	збентежене обличчя	гнів|збентежений|злий|крінж|обличчя|розлючений|розчарований|сердитий|сумний
😗	обличчя, що цілує	кохання|обличчя|побачення|поцілунок|флірт|цілувати|цілує|цьом
😘	обличчя, що надсилає цілунок	обличчя|повітряний|поцілунок|серце|цілунок|цілую|цьом
😙	обличчя з примруженими очима, що цілує	143|заплющений|знайомства|кохання|ніч|обличчя|око|очі|побачення|поцілунки|поцілунок|усміхатися|усмішка|флірт|цілуватися
😚	обличчя із заплющеними очима, що цілує	закриті|заплющені|обличчя|око|очі|побачення|поцілунок|флірт|цілує
😛	обличчя з висунутим язиком	висолопити|висунутий|добре|обличчя|показати|радість|язик
😜	обличчя, що підморгує і показує язика	жарт|лол|обличчя|очі|підморгувати|підморгую|показати|посмішка|усмішка|хаха|язик
😝	обличчя з висунутим язиком і заплющеними очима	висунутий|гидота|жахливий|заплющені|обличчя|очі|смак|сміх|тьфу|фу|язик
😞	розчароване обличчя	винуватий|засмучений|невдача|нещасний|обличчя|провина|програш|розчарований|сумний
😟	стурбоване обличчя	занепокоєння|здивований|нерви|обличчя|стрес|стурбований|сумний|тривожність|турбуватися
😠	сердите обличчя	злий|обличчя|сердите обличчя|сердитий
😡	обличчя, що дується	гнів|дується|злий|насуплений|невдоволений|нещасний|обличчя|сердитий|червоний
😢	обличчя, що плаче	нещасний|обличчя|плач|плаче|сльоза|сумний|сумую
😣	невідступне обличчя	завзяте|зосередження|концентрація|невдоволений|невідступне|обличчя|розчарований|увага|упертість
😤	обличчя, що сердито видихає	гнів|злість|лють|обличчя|пара з носа|розгніваний|роздратований|розлючений|сердитий|тріумф|шалений
😥	cумне, але втішене обличчя	cумне|все складно|втішене|заспокоєне|обличчя|плакати|полегшення|розчароване|розчарування|сльози|фух
😦	похмуре обличчя з відкритим ротом	вау|відкритий|здивований|зненацька|наляканий|нахмурений|нічого собі|обличчя|рот|страх
😧	стражденне обличчя	забув|здивований|не може бути|незадоволений|обличчя|переляк|спантеличений|страждання|стрес
😨	налякане обличчя	боюся|боязкий|наляканий|обличчя|переляк|страх
😩	замучене обличчя	втомлене|замучене|зморений|нещасний|ні|обличчя|позіхати|розчарований|розчарування|спати|стомлений|сумний
😪	заспане обличчя	втомлениий|засмучений|заспане обличчя|обличчя|сон
😫	стомлене обличчя	обличчя|розчарована|розчарований|розчарування|стомлене обличчя|стомлений
😬	обличчя з гримасою	гримаса|дантист|дивно|зуби|капець|кривляння|крінж|посмішка|скривлене|стоматолог|усмішка
😭	обличчя, що гучно ридає	гірке|гучно|котяться|нещасний|обличчя|плач|потік|ридання|сльози|сумний
😮	обличчя з відкритим ротом	вау|відкритий|забув|здивування|не може бути|обличчя|ого|отакої|рот|співчуття|шок
😮‍💨	обличчя, що видихає	вдих|видих|виснажений|втомлений|обличчя|полегшення|свист|смайл|стогін|туман|шепотіння
😯	здивоване і збентежене обличчя з бровами	брови|вражений|збентежене|здивоване|нічого собі|обличчя|отакої|приголомшений
😰	занепокоєне обличчя з потом	відкритий|знервований|нерви|обличчя|піт|розчарований|рот|синій|спітніти|холодний|холодно
😱	обличчя, що кричить із переляку	вражений|епічний|зойк|крик|крикун|наляканий|обличчя|переляк|страх|шокований|що кричить
😲	вражене обличчя	абсолютно|вражене|здивоване|здивований|не може бути|ні|обличчя|отакої|подив|шок
😳	зашаріле обличчя	вау|зашаріле|здивований|не може бути|незручний|ніяково|обличчя|присоромлений|рум’янець|сором|та годі
😴	обличчя, що спить	втома|добраніч|заснув|ніч|обличчя|сон|сонний|спати|спить|стомлений
😵	запаморочене обличчя	запаморочене обличчя|запаморочений|обличчя
😵‍💫	очі-спіралі	гіпноз|заносить|запаморочення|нічого собі|ого|ох|очі-спіралі|погано|проблема|смайл|у шоці|шок
😶	обличчя без рота	без рота|беззвучно|мовчи|немає слів|обличчя|рот|секрет|тихо
😷	обличчя в медичній масці	вірус|застуда|інфекція|лікар|маска|медицина|обличчя в медичній масці|хворий|холодний
😸	широко всміхнений кіт з усміхом в очах	вишкір|кіт|морда|око|усміхнений кіт|усмішка|широко всміхнений кіт з усміхом в очах
😹	кіт зі сльозами радості	кіт|кіт зі сльозами радості|кіт сміється|морда|радість|сльози|смішно
😺	широко всміхнений кіт	весело|відкритий|кіт|кішка|морда|паща|посмішка|сміється|усміхнений|усмішка|широко
😻	усміхнений кіт з очима як серця	кіт|кохання|морда|око|посмішка|серце|усміхнений кіт з очима як серця|усмішка|щасливий|щастя
😼	кіт із кривою посмішкою	глузлива|іронічний|кіт|кіт із кривою посмішкою|котяча|морда|посмішка|скривлена|сумніви
😽	кіт, що цілує	заплющений|кіт|морда|око|очі|поцілунок|тварина|що цілує
😾	сердитий кіт	кіт|котяча|морда|насуплений|сердита|сердитий кіт
😿	кіт, що плаче	зарюмана|кіт|кіт, що плаче|котяча|морда|плач|сльоза|сумна|сумний|що плаче
🙀	шокований кіт	здивування|зненацька|кіт|котяча|морда|не може бути|ой|сюрприз|шок|шокований кіт
🙁	трохи похмуре обличчя	нахмурений|обличчя|сумний|трохи похмуре обличчя
🙂	трохи всміхнене обличчя	всміхнений|задоволений|обличчя|посмішка|сміх|усміхнений|усмішка
🙃	обличчя догори дриґом	догори дном|догори дриґом|догори ногами|обличчя|хаха|хехе
🙄	обличчя із закоченими очима	байдуже|закочувати|о боже|обличчя|отакої|оце так|очі
🙅	людина, що жестом показує «ні»	жест|заборонено|людина|людина, що жестом показує «ні»|немає шансів|ні|ніколи|рука|що жестом показує «ні»
🙆	людина, що жестом показує «окей»	вправа|жест|людина|людина показує окей|людина, що жестом показує «окей»|окей|рука|ховатися|що жестом показує «окей»
🙇	людина, що вклоняється	благати|вибач|жалкувати|жест|поклон|розкаяння|співчувати|уклін|шкода
🙈	мавпа, що не бачить	бачити|заборонено|зло|мавпа|мавпа, що не бачить|не бачу|не бачу зла|обличчя|що не бачить|що не бачить зла
🙉	мавпа, що не чує	заборонено|зло|мавпа|мавпа, що не чує|не чую|не чую зла|обличчя|чути|що не чує|що не чує зла
🙊	мавпа, що не говорить	говорити|заборонено|зло|мавпа|мовчу|не говорю лихого|не скажу|обличчя|ой|секрет|що не висловлює зла|що не говорить
🙋	людина з піднятою рукою	виберіть|вітання|жест|запитання|мене|можу|оберіть|тут|щасливий
🙌	руки, підняті для святкування	жест|піднята|підняті для святкування|підняті руки|рука|руки|руки, підняті для святкування|святкування|ура
🙍	похмура людина	жест|засмучений|насуплені брови|нахмурений|невдоволений|невеселий|похмура людина|роздратування|смуток
🙎	людина, що дується	гримаса|жест|засмучений|злий|насуплений|невеселий|похмурий|розчарований|стурбований|сумно
🙏	руки, стиснуті разом	благання|будь ласка|дякую|молитва|просити|прошу|рука|уклін
🚀	ракета	запуск ракети|космос|подорож|ракета|транспорт
🚁	гелікоптер	вертоліт|гелікоптер|транспорт
🚂	паровий локомотив	двигун|залізниця|паровий|паровий локомотив|паровоз|потяг|транспорт
🚃	вагон	вагон|електричний|залізниця|трамвай|транспорт|тролейбус
🚄	швидкісний потяг	залізниця|інтерсіті|потяг|транспорт|швидкісний
🚅	швидкісний потяг з округлим носом	залізниця|інтерсіті|кулеподібний|потяг|транспорт|швидкісний|швидкісний потяг з округлим носом
🚆	потяг	електропотяг|залізниця|потяг|транспорт
🚇	метро	метро|транспорт
🚈	швидкісний трамвай	електропоїзд|залізниця|поїзд|транспорт|швидкісний трамвай
🚉	станція	cтанція|залізниця|зупинка|потяг|станція|транспорт
🚊	трамвай	метро|потяг|трамвай|транспорт|тролейбус
🚋	вагон трамвая	вагон|вагон трамвая|трамвай|транспорт|тролейбус
🚌	автобус	автобус|транспорт
🚍	автобус, що наближається	автобус|машини|що наближається|що наближаються
🚎	тролейбус	автобус|громадський транспорт|трамвай|транспорт|тролейбус
🚏	автобусна зупинка	автобус|автобусна зупинка|зупинка
🚐	мікроавтобус	автобус|маршрутка|мікроавтобус|транспорт
🚑	автомобіль швидкої допомоги	автомобіль швидкої допомоги|транспорт|швидка допомога
🚒	пожежна машина	вантажівка|двигун|пожежна машина|пожежний|пожежний автомобіль
🚓	поліцейська машина	автомобіль|міліція|патруль|патрульний автомобіль|поліцейська машина|поліцейський автомобіль|поліція
🚔	поліцейська машина, що наближається	автомобіль|міліція|наближається|патруль|поліцейська машина|поліцейська машина, що наближається|поліцейський автомобіль|поліція|що наближається
🚕	таксі	таксі|транспорт
🚖	таксі, що наближається	жовте таксі|наближатися|таксі|таксі, що наближається|транспорт|що наближається
🚗	автомобіль	автівка|авто|автомобіль|машина|транспорт
🚘	автомобіль, що наближається	автомобіль|автомобіль, що наближається|машина|наближається|транспорт|червона машина|червоне авто|що наближається
🚙	позашляховик	автівка|житловий|машина|позашляховик|транспорт|трейлер|фургон
🚚	вантажівка для доставки	вантажівка|вантажівка для доставки|доставка|транспорт|фургон
🚛	вантажівка з причепом	вантажівка|вантажівка з причепом|транспорт|тягач|фургон
🚜	трактор	трактор|транспорт
🚝	монорейка	метро|монорейка|монорейкова залізниця|транспорт|швидкий потяг
🚞	залізниця в горах	вагон|гірська залізниця|гора|залізниця|залізниця в горах|поїзд|транспорт
🚟	підвісна монорейка	залізниця|канатна дорога|підвісна залізниця|підвісна монорейка|підвісний|транспорт
🚠	канатна дорога в горах	гондола|гора|кабель|канатна дорога|канатна дорога в горах|транспорт|фунікулер
🚡	канатна дорога	автомобіль|гондола|кабель|канатна дорога|підвісна дорога|підвісна канатна дорога|повітряний|транспорт
🚢	корабель	корабель|транспорт
🚣	людина, що веслує на човні	байдарка|весло|гребля|каное|людина|озеро|рафт|рибалка|річка|транспорт|човен
🚤	швидкохідний катер	катер|транспорт|човен|швидкохідний катер
🚥	горизонтальний світлофор	горизонтальний світлофор|світлофор|транспорт
🚦	вертикальний світлофор	вертикальний світлофор|перехрестя|пішохідний перехід|світлофор|транспорт
🚧	знак ремонтних робіт	будівництво|знак ремонтних робіт|огорожа|паркан|прохід заборонено
🚨	проблисковий маячок	автомобіль|вогні поліцейського автомобіля|маяк|маяк патрульного автомобіля|мигати|обертатися|поліція|проблисковий маячок|сирена|швидка
🚩	трикутний прапор	гольф|прапорець|сигнал|трикутний|флагшток
🚪	двері	вхід|двері
🚫	заборонено	вʼїзд заборонено|заборонено|забороняється|не дозволено|не допускається|немає|ні
🚬	сигарета	куріння|паління|сигарета|цигарка
🚭	палити заборонено	заборонено|курити|не|палити|паління заборонено|символ «не палити»
🚮	знак кидати сміття в урну	знак кидати сміття в урну|памʼятка не смітити|смітник|сміття|урна
🚯	смітити заборонено	заборонено|знак «не смітити»|не|смітити|сміття
🚰	питна вода	вода|кран|питна|питний|придатна для пиття
🚱	непридатна для пиття вода	вода|заборонено|знак «непитна вода»|не|непитна вода|непридатна для пиття вода|непридатно|пити|пиття
🚲	велосипед	велосипед|кататися|транспорт
🚳	велосипеди заборонено	велосипед|велосипеди заборонено|заборонено|рух на велосипеді заборонено|транспортний засіб
🚴	людина, що їде на велосипеді	велосипед|велосипедист|їзда на велосипеді|кататися на велосипеді|людина|людина на велосипеді|людина, що їде на велосипеді|спортсмен|що їде на велосипеді
🚵	людина, що їде на гірському велосипеді	велосипед|велосипедист|гірський велосипед|гора|їзда на велосипеді|кататися на велосипеді|людина|людина, що їде на гірському велосипеді|спортсмен|що їде на гірському велосипеді
🚶	людина, що йде пішки	гуляти|іти|крок|людина|людина йде|людина, що йде пішки|пішки|пішохід|прогулянка|що йде пішки
🚷	пішохідний рух заборонено	заборонено|пішохідний рух заборонено|прохід заборонено|рух заборонено|рух пішоходів заборонено
🚸	попереджувальний знак «Діти»	діти|діти на дорозі|на дорозі|перехід дороги для дітей|пішоходи|попереджувальний знак «Діти»|рух
🚹	чоловіча вбиральня	вбиральня|для чоловіків|клозет|туалет|туалетна кімната|чоловіча вбиральня|чоловічий туалет
🚺	жіноча вбиральня	вбиральня|для жінок|жіноча вбиральня|жіночий туалет|туалет|убиральня
🚻	громадський туалет	вбиральня|громадський туалет|клозет|туалет
🚼	символ немовляти	для немовлят|заміна пелюшок|немовля|пеленання|символ «немовля»|символ немовляти
🚽	унітаз	туалет|унітаз
🚾	символ убиральні [WC]	ванна|вбиральня|знак убиральні WC|кімната|символ убиральні [WC]|символ убиральні WC|туалетна кімната|убиральня
🚿	душ	вода|душ
🛀	людина, що приймає ванну	ванна|купатися|людина|людина, що приймає ванну|приймати ванну|що приймає ванну
🛁	ванна	ванна|ванна з піною|купатися|приймати ванну
🛂	паспортний контроль	контроль|митниця|паспортний
🛃	митниця	митний контроль|митниця
🛄	видача багажу	багаж|видача|видача багажу|отримання|пункт отримання багажу
🛅	камера схову	багаж|залишені речі|камера зберігання|камера схову|комірка для зберігання|поклажа
🛌	людина в ліжку	відпочинок|готель|добраніч|ліжко|людина в ліжку|ніч|сон|спати|стомлений
🛐	культова споруда	культова споруда|молитва|молитися|молитовний дім|поклоніння|релігія
🛑	восьмикутний червоний знак	восьмикутний червоний знак|восьмикутник|знак|знак “стоп”|стоп
🛒	магазинний візок	возик|магазин|магазинний візок|супермаркет|шопінг
🛕	індуїстський храм	індуїстський|храм
🛖	хижа	будинок|бунгало|дім|купольний будинок|оселя|прихисток|хата|хатина|хижа|юрта
🛗	ліфт	вантажність|доступність|люди|пасажири|підіймач|підйомник|спеціальні можливості
🛜	бездротовий	wifi|wlan|безпровідний|вайфай|зʼєднання|інтернет|маршрутизатор|мережа|смартфон|точка доступу|хотспот
🛝	дитяча гірка	гірка|гратися|дитяча гірка|зʼїжджати з гірки|ігровий майданчик|кататися|парк розваг
🛞	колесо	автомобіль|колесо|коло|машина|обертатися|транспорт|шина
🛟	рятівний круг	безпека|буйок|плавати|рятівне коло|рятівник|рятувальний засіб|рятувати життя|спасати|триматися на воді
🛫	літак злітає	відправлення|відправлення літака|літак|літак злітає|подорож|політ|реєстрація|транспорт
🛬	літак сідає	літак|літак сідає|подорож|прибуття|прибуття літака|приземлення|транспорт
🛴	самокат	самокат
🛵	мопед	мопед|скутер
🛶	каное	каное|човен
🛷	сани	сани|санчата|сніг
🛸	летюча тарілка	летюча тарілка|НЛО|чужі
🛹	скейтборд	борд|дошка|коліщатка|ролики|скейт|скейтборд|скейтер
🛺	авторикша	авторикша|рикша|тук-тук
🛻	автомобіль-пікап	автомобіль|автомобіль-пікап|вантаж|вантажівка|легка вантажівка|пікап|транспорт
🛼	роликовий ковзан	катання|катання на роликах|ковзан|ковзани|коліщата|ролики|роликовий|спорт
🟠	оранжевий круг	круг|оранжевий
🟡	жовтий круг	жовтий|круг
🟢	зелений круг	зелений|круг
🟣	фіолетовий круг	круг|пурпуровий|фіолетовий
🟤	коричневий круг	коричневий|круг
🟥	червоний квадрат	квадрат|червоний
🟦	синій квадрат	блакитний|квадрат|синій
🟧	оранжевий квадрат	квадрат|оранжевий
🟨	жовтий квадрат	жовтий|квадрат
🟩	зелений квадрат	зелений|квадрат
🟪	фіолетовий квадрат	квадрат|фіолетовий
🟫	коричневий квадрат	квадрат|коричневий
🟰	знак точної рівності	відповідь|дорівнює|знак точної рівності|математика|результат|рівність|рівнозначний
🤌	зведені пальці	долоня|жест|запитання|лотос|мудра|просвітлення|розслаблення|рука|сарказм|спокій|терпіння
🤍	біле серце	біле|серце
🤎	коричневе серце	коричневе|серце
🤏	жест «мало»	дещиця|жест «мало»|мало|небагато|невелика кількість|пальці|рука|трохи|щіпка
🤐	обличчя із застібкою замість рота	блискавка|застібка|мовчати|мовчу|не казати|не скажу|обличчя|рот|рот на замок|як риба
🤑	обличчя з грішми замість очей та язика	вдавися|виграш|гроші|лотерея|обличчя|очі|рот
🤒	обличчя з термометром	обличчя|обличчя з термометром|термометр|хворий
🤓	обличчя всезнайка	ботан|гік|дойда|дока|зацікавленість|навчання|обличчя|обличчя всезнайка|обличчя заучки|унікум
🤔	обличчя в роздумах	дай подумаю|думати|задума|не знаю|обличчя|підборіддя|роздуми|треба подумати|у роздумах|хм
🤕	обличчя з головною повʼязкою	болить|голова|обличчя|пов’язка|поранений|рана|травма
🤖	робот	голова|монстр|обличчя|робот
🤗	щасливе обличчя з руками, що обіймають	обійматися|обійми|обійняв|обличчя|обняти|радісний|радість|руки|щастя
🤘	жест «роги»	жест «роги»|коза|палець|роги|рок|рок-н-рол|рука|символ рогів рукою
🤙	жест «подзвони мені»	жест «подзвони мені»|жест рукою «подзвони мені»|зателефонуй мені|зізвонемося|подзвони мені|рука|телефон
🤚	піднята рука тильною стороною	долоня|піднята|піднята рука тильною стороною|рука|тильна
🤛	кулак уліво	кулак|панч|рука|уліво
🤜	кулак управо	кулак|рука|удар праворуч|управо
🤝	рукостискання	домовилися|згода|по руках|потискання|руки|рукостискання
🤞	схрещені пальці	пальці|рука|схрещені|удача
🤟	жест «кохаю тебе»	жест|жест «кохаю тебе»|піднята рука|рука|три пальці|фанат
🤠	обличчя у ковбойському капелюсі	капелюх|ковбой|обличчя|обличчя у ковбойському капелюсі|широко усміхнене обличчя у ковбойському капелюсі
🤡	обличчя клоуна	клоун|обличчя|обличчя клоуна|цирк
🤢	обличчя, яке нудить	блювота|закачує|нудить|нудота|обличчя|погано|укачує|хвора|хворий
🤣	качається від сміху	веселий|до сліз|качається від сміху|кумедний|обличчя|регіт|сміх|смішний|сміятися|умирати зі сміху|хаха
🤤	обличчя, що пускає слину	голодний|обличчя|пускає слину|слина
🤥	обличчя, що бреше	брехло|брехня|брехун|збрехав|неправда|обличчя|обман|піноккіо
🤦	людина з долонею до обличчя	боже|обличчя|роздратування|розчарування|рука|рукалице|скільки можна|сором|фейспалм
🤧	обличчя, що чхає	апчхи|грип|застуда|нежить|обличчя|обличчя, що чхає|ОРЗ|хвороба|чхання|що чхає
🤨	обличчя з піднятими бровами	брови|гм|конфуз|не вірю|не розумію|недовіра|обличчя|отакої|скептичний|справді|що
🤩	очі-зірочки	веселий|виграш|зірка|обличчя|очі|посмішка|радість|усмішка|щастя
🤪	божевільне обличчя	божевільне обличчя|божевільний|великий|малий|око|скажений
🤫	обличчя, що цикає	замовкніть|мовчіть|не гомоніть|обличчя|пошепки|тихіше|тихо|тиша|тссс|шепіт
🤬	обличчя із символами в роті	гнів|лайка|лаятися|матюк|не скажу|обличчя|сердитий|суворий|цензура
🤭	обличчя, що прикриває рота рукою	мовчу|обличчя|ой|секрет|смішно|сюрприз|тайна|тихо|упс|хихикання
🤮	обличчя, що блює	блювання|блювота|мені погано|нудить|нудота|обличчя|отруївся
🤯	голова, що вибухає	винос мозку|голова|голова, що вибухає|не може бути|неймовірно|шок|шокований|що вибухає
🤰	вагітна жінка	вагітна|вагітність|жінка
🤱	грудне вигодовування	годування|груди|грудне вигодовування|материнство|молоко матері|немовля|новонароджена|новонароджений|турбота
🤲	долоні, підняті разом	бажання|долоні|долоні, підняті разом|молитва|молитися|підняті разом
🤳	селфі	автопортрет|камера|селфі|телефон|фото
🤴	принц	королевич|королівство|корона|принц|робота
🤵	людина в смокінгу	вечеря|людина|людина в смокінгу|наречений|офіціант|прийом|смокінг|чоловік|чоловік у смокінгу
🤶	Пані Клаус	жінка|жінка санта-клауса|зима|Новий рік|Пані Клаус|різдво|Різдво|свята
🤷	людина, що знизує плечима	байдуже|байдужість|знизування|мабуть|не знаю|невідомо|розгубленість|сумнів|хтозна
🤸	людина, що перевертається «колесом»	акробат|активний|гімнастика|колесо|людина|людина, що перевертається «колесом»|піднесений|спорт|щасливий|що перевертається «колесом»
🤹	людина, що жонглює	багатозадачність|баланс|впоратися|жонглер|жонглювання|людина|уміння|фокус|цирк
🤺	фехтувальник	змагання|спорт|фехтувальник|фехтувальниця|фехтування|шабля|шпага
🤼	борці	бій|борець|боротьба|борці|двобій|дуель|людина|поєдинок|спорт|турнір із вільної боротьби
🤽	людина, що грає у ватерполо	вода|водне поло|водний спорт|людина|людина, що грає у ватерполо|плавання|поло|спорт|що грає у ватерполо
🤾	людина, що грає у гандбол	гандбол|кидок|ловити|людина|людина, що грає у гандбол|м’яч|перекидати мʼяч|подача|спорт|що грає у гандбол
🤿	маска з трубкою	акваланг|дайвінг|занурення|маска з трубкою|маска і ласти|маска і трубка|підводне плавання|сноркелінг
🥀	привʼяла троянда	завʼяла троянда|зів’яла|зів’яла троянда|квітка|привʼяла троянда
🥁	барабан	барабан|музика|палички
🥂	дзвін бокалів	бокалів|будьмо|дзвін|напій|Новий рік|святкування
🥃	бокал віскі	алкоголь|бокал|віскі|напій|спиртне|стакан віскі
🥄	ложка	ложка|прибори|столові прибори
🥅	сітка воріт	ворота|сітка|сітка воріт|спорт
🥇	золота медаль	золота медаль|золото|медаль|місце|перше
🥈	срібна медаль	друге|медаль|місце|срібло|срібна медаль
🥉	бронзова медаль	бронза|бронзова медаль|медаль|місце|спорт|третє
🥊	боксерська рукавичка	бокс|боксерська рукавичка|нокаут|нокдаун|рукавичка|спорт
🥋	одяг для єдиноборств	бойові мистецтва|дзюдо|карате|кімоно|одяг для єдиноборств|тхеквондо|уніформа|форма|чорний пояс
🥌	камʼяна шайба для керлінгу	гра|камʼяна шайба для керлінгу|камінь|камінь для керлінга|керлінг|спорт
🥍	стік для лакросу	гол|лакрос|м’яч|палиця|ракетка|спорт|стік|стік для лакросу
🥎	софтбольний мʼяч	бейсбол|битка|м’яч|рукавиця|рукавичка|софт|софтбол|софтбольний мʼяч|спорт
🥏	літаючий диск	алтимат|диск|кидок|летючий диск|літаючий диск|тарілка|фризбі|фрізбі
🥐	круасан	булочний виріб|звій півмісяцем|їжа|круасан|пекарня|сніданок|Франція|французький
🥑	авокадо	авокадо|їжа|плід
🥒	огірок	їжа|корнішон|овоч|огірок
🥓	бекон	бекон|їжа|м’ясо
🥔	картопля	їжа|картопля|овоч
🥕	морква	заяць|заяча їжа|їжа|морква|морквина|овоч
🥖	багет	багет|булка|випічка|їжа|франція|французький|хліб
🥗	зелений салат	дієта|здорове харчування|зелений|їжа|салат
🥘	каструля з їжею	їжа|каструля|каструля з їжею|плов|рагу|суп
🥙	піта	їжа|кебаб|лаваш|лаваш із начинкою|начинка|піта|фалафель
🥚	яйце	Великдень|їжа|яйце
🥛	склянка молока	молоко|напій|склянка|склянка молока
🥜	арахіс	арахіс|горіх|земляний горіх|їжа|їстівний
🥝	ківі	їжа|ківі|плід|фрукт
🥞	млинці	їжа|креп|крепи|млинець|млинці|налисник|налисники|сніданок
🥟	вареник	вареник|вушко|галушка|їжа|пельмень|пиріжок|пироги
🥠	печиво з передбаченням	печиво з передбаченням|печиво з повідомленням|печиво-пророцтво|пророцтво
🥡	коробка з їжею на винос	доставка їжі|їжа|коробка з їжею на винос|коробка з китайською їжею|палички для їжі
🥢	палички для їжі	куайцзи|о-хасі|палички|палички для їжі|хаші|чоккарак
🥣	миска з ложкою	борщ|злаки|їжа|миска з ложкою|піала|рисова каша|сніданок|суп
🥤	стакан із соломинкою	напій|одноразовий стакан|сік|содова|соломинка|соломка|трубочка
🥥	кокос	відпустка|кокос|пальма|Піна-Колада|пінья колада|тропіки
🥦	броколі	броколі|їжа|кучерява|овоч|цвітна капуста
🥧	пиріг	випічка|десерт|начинка|пиріг
🥨	крендель	бублик|випічка|кренделик|крендель|прецель|сплетений
🥩	мʼясний філей	бараняча відбивна|їжа|котлета|мʼясний філей|мʼясо|свиняча котлета|стейк
🥪	сандвіч	їжа|сандвіч|сендвіч|хліб
🥫	консерви	банка|консерви|консервовані томати
🥬	листя салату	бок-чой|бурґери|зелені листки|зелень|капуста|кель|латук|листок|листя|листя салату|салат
🥭	манго	їжа|манго|плід|тропічний|фрукт|шейкер
🥮	мункейк	Азія|місячний пиріг|місячний пряник|мункейк|осінь|пиріжок|повний місяць|свято|фестиваль|юебін
🥯	бейгл	багель|бейгл|бублик|булочка|випічка|десерт|начинка|пампух|пончик|сніданок
🥰	усміхнене обличчя із сердечками	закоханість|кохання|любов|ніжність|обличчя|сердечка|серця|симпатія|усмішка|я кохаю тебе
🥱	обличчя, що позіхає	добраніч|заспаний|знуджений|ніч|обличчя|обличчя, що позіхає|позіхає|позіхайло|позіхати|сон|стомлений|хоче спати|що позіхає
🥲	усмішка в сльозах	вдячність|гордість|зворушення|плач|полегшення|посмішка|розчулений|сльоза|смайл|усмішка
🥳	святкове обличчя	вечірка|вітання|день народження|дудка|збуджений|капелюх|ковпак|обличчя|радість|ріжок|святкове обличчя|святкування|свято|схвильований|трубочка
🥴	очманіле обличчя	дурман|запаморочення|захмелілий|інтоксикація|кайф|косі очі|одурманений|очі розбігаються|очманіле обличчя|п’яний|язик заплітається
🥵	розпашіле обличчя	висолоплений язик|гаряче|гарячий|гарячка|жар|задуха|обличчя|палати|піт|помирає|розпашіле обличчя|сонячний удар|спека|тепловий удар|червоне лице|червонощокий
🥶	замерзле обличчя	бурулька|замерзле обличчя|замерзлий|зуб на зуб|мороз|обмороження|посинілий від холоду|синє лице|синє обличчя|холод|цокотить зубами
🥷	ніндзя	боєць|вбивця|воїн|крадькома|людина|маска|найманець|невидимка|покрадьки|потайки
🥸	замасковане обличчя	вуса|вусань|замасковане обличчя|інкогніто|камуфляж|людина|маска|накладний ніс|накладні вуса|ніс|обличчя|окуляри|шпигун
🥹	обличчя, що ледве стримує сльози	будь ласка|вдячність|гордість|мило|обличчя|пишаюся|плач|радості|сльози|сум|схвильований|щастя
🥺	благальне обличчя	благання|будь ласка|великі|випрошувати|жалібне|жалісливе|молити|обличчя|очі|просити|прохання|сумно|щенячі очі
🥻	сарі	вбрання|одяг|сарі
🥼	лабораторний халат	білий халат|вчений|доктор|експеримент|лабораторний халат|лікар|науковець|одяг
🥽	захисні окуляри	дайвінг|захисні окуляри|захист|захист очей|зварювання|маска для дайвінгу|маска для плавання|окуляри|плавання|скуба
🥾	похідні черевики	взуття|гірські|дорожні|коричневе|похід|табір|трекінгові|туристичні|хайкінг|чоботи
🥿	туфлі без підборів	балерини|балетки|кеди|сліпони|тапочки|туфлі|туфлі без каблука|туфлі без підборів|човники
🦀	краб	зодіак|краб|рак
🦁	лев	знак|зодіак|лев|лев’яча морда|морда|морда лева|тварина|хижак
🦂	скорпіон	зодіак|скорпіон
🦃	індик	індик|індичка|птах
🦄	єдиноріг	голова|єдиноріг|казковий|морда
🦅	орел	орел|птах|хижак
🦆	качка	качка|птах
🦇	кажан	вампір|кажан|тварина
🦈	акула	акула|риба
🦉	сова	безсоння|мудрість|ніч|пізно|птах|сова
🦊	лис	лис|лисиця|лисича|лисяча|морда|тварина|хитрий
🦋	метелик	гарний|комаха|метелик
🦌	олень	олень|рога|тварина
🦍	горила	горила|мавпа|тварина
🦎	ящірка	плазун|рептилія|ящірка
🦏	носоріг	носоріг|сафарі|тварина
🦐	креветка	їжа|креветка|морепродукт
🦑	кальмар	їжа|кальмар|молюск
🦒	жирафа	жирафа|плями|тварина
🦓	зебра	зебра|смуга|тварина
🦔	їжак	голчастий|їжак|колючий|колючки
