⌚	montre	heure|montre
🧘	personne dans la posture du lotus	détendu|femme|lotus|méditation|personne assise en position du lotus|personne dans la posture du lotus|position du lotus|relax|relaxation|tailleur|yoga|zen
🧙	mage	chapeau|enchantement|ensorceleur|envoûtement|jeu de rôle|mage|magicien|personnage|sorcier|sorcière|sortilège
🧚	personnage féérique	ailes|déguisement|fée|Fée clochette|féerie|magie|Obéron|personnage féérique|Puck|Titania|voler
🧛	vampire	canines|cape|conte|déguisement|dents|dracula|Dracula|halloween|mort-vivant|personnage|sang|vampire
🧜	créature aquatique	ariel|créature aquatique|folklore|mer|océan|personnage|petite sirène|queue de poisson|sirène|trident|triton
🧝	elfe	conte|elf|elfe|le seigneur des anneaux|legolas|magique|oreilles|personnage
🧞	génie	aladin|djinn|génie|homme génie|lampe magique|magie|personnage|souhait|voeu|vœu
🧟	zombie	effrayant|flippant|halloween|horreur|mort vivant|mort-vivant|personnage|peur|zombie
🧠	cerveau	cerveau|intelligent|intelligente
🧡	cœur orange	coeur orange|cœur orange|orange
🧢	casquette américaine	baseball cap|casquette|casquette américaine|casquette de baseball|chapeau|vêtements
🧣	foulard	cou|écharpe|foulard|froid|glagla|vêtements
🧤	gants	gant|gants|main|vêtements
🧥	manteau	froid|glagla|manteau|veste|vêtements
🧦	chaussettes	chaussettes|pieds|vêtements
🧧	enveloppe rouge	argent|bonne chance|cadeau|enveloppe rouge|hóngbāo|lai see
🧨	pétard	dynamite|étincelle|explosif|explosive|feu d’artifice|pétard|tnt
🧩	pièce de puzzle	assemblage|énigme|indice|interloqué|pièce de puzzle|pièce manquante|puzzle
🧪	tube à essai	chimie|chimiste|expérience|expérimentation|labo|laboratoire|réaction|science|sciences|tube à essai
🧫	boîte de pétri	bactérie|bactériologie|biologie|biologiste|boîte de petri|boîte de pétri|culture|labo|laboratoire|micro-organismes|microbiologie|science
🧬	adn	adn|biologie|biologiste|évolution|gène|génétique|science|vie
🧭	boussole	boussole|compas|direction|magnétique|navigation|orientation
🧮	abaque	abaque|boulier|calcul|calculation|math|mathématiques
🧯	extincteur	chaud|éteindre|extincteur|feu|fire|incendie
🧰	boîte à outils	boîte à outils|caisse à outils|coffre|mécanique|mécano|outil|outils
🧱	brique	argile|brique|briques|mortier|mur|mur de briques|the wall|voie 9 3/4
🧲	aimant	aimant|aimanter|attirer|attraction|fer à cheval|magnet|magnétique|positif négatif
🧳	bagage	bagage|valise|voyage
🧴	bouteille de lotion	après-shampoing|bouteille de lotion|crème hydratante|crème pour le corps|crème solaire|flacon|hydratant|lotion|shampoing|shampooing
🧵	bobine de fil	aiguille|bobine|bobine de fil|coudre|couture|ficelle|fil
🧶	fil	boule|crochet|fil|laine|pelote|tricot
🧷	épingle de sûreté	couche|épingle à nourrice|épingle de nourrice|épingle de sûreté|imperdable|lange|punk rock
🧸	ours en peluche	jeu|jouet|nounours|ours|ours en peluche|peluche
🧹	balai	balai|balais|balayage|ménage|nettoie|nettoyage|nettoyé|nettoyer|sorcière
🧺	panier	agriculture|cueillette|lessive|linge|panier|pique-nique
🧻	rouleau de papier	essuie-tout|papier hygiénique|papier toilette|rouleau de papier|rouleau de pq
🧼	savon	bain|bulles|lavage|laver|me lave|me laver|mousse|pain de savon|porte-savon|savon|se lave|se laver
🧽	éponge	absorbante|absorbe|éponge|laver|nettoyage|nettoyer|poreuse|savonner
🧾	reçu	compta|comptabilité|comptable|facture|faire les comptes|justificatif|preuve|reçu|ticket de caisse
🧿	mauvais œil	amulette|l’oeil bleu|mauvais oeil|mauvais œil|nazar|nazar boncuk|nazarboncuk|œil bleu|perle|superstition|talisman|talisman turc
🩰	chaussons de danse	ballerines|ballet|chaussons de danse|chaussures|classique|danse
🩱	maillot de bain une pièce	maillot|maillot de bain|maillot de bain une pièce|maillot une pièce
🩲	slip	maillot de bain|slip|slip de bain|sous-vêtement|une pièce
🩳	short	baignade|caleçon|maillot de bain|piscine|plage|short|short de bain|sous-vêtement
🩴	tong	claquettes|été|mer|plage|sandales|sandales de plage|tatanes|tong|tongs
🩵	cœur bleu clair	143|aimer|amour|bleu ciel|bleu clair|cœur bleu clair|cyan|émotion|jtm|mignon|spécial
🩶	cœur gris	143|amour|ardoise|argent|argenté|cœur|émotion|gris|jtm|spécial
🩷	cœur rose	143|adorable|aimer|amour|cœur|émotion|jtm|mignon|rose
🩸	goutte de sang	don du sang|goutte de sang|médecine|menstruation|menstruations|règles|sang
🩹	sparadrap	bandage|bobo|médecine|pansement|premiers secours|sparadrap
🩺	stéthoscope	cœur|diagnostic|docteur|médecin|médecine|poumons|stéthoscope
🩻	radiographie	cage thoracique|docteur|médical|os|radiographie|rayons X|squelette
🩼	béquille	accident|aide|béquille|blessé|boiter|canne|handicap
🪀	yoyo	descendre|jouet|monter|osciller|yoyo
🪁	cerf-volant	cerf-volant|planer|voler
🪂	parachute	chute libre|parachute|parachute ascensionnel|parapente|sensations fortes
🪃	boomerang	aborigène|australie|boomerang|jeu|outil|répercussion|retour
🪄	baguette magique	abracadabra|baguette magique|magicien|magie|sorcier|sorcière|sort|tour de magie
🪅	piñata	5 mai|bonbons|cinco de mayo|confiseries|fête|mexicain|piñata
🪆	poupées russes	emboîté|empiler|jouet|matriochka|poupée gigogne|poupée russe|poupées russes|russe|russie
🪇	maracas	cha cha cha|danse|danser|fête|hochet|instrument|maracas|musique|percussion|secouer
🪈	flûte	bois|fanfare|fifre|flûte|flûte à bec|flûtiste|instrument|musique|orchestre|piccolo
🪉	harpe	amour|cupidon|harpe|instrument|musique|orchestre
🪏	pelle	bêche|creuser|pelle|trou
🪐	planète à anneaux	anneaux|planète à anneaux|saturne|saturnien|saturnienne
🪑	chaise	assis|chaise|siège
🪒	rasoir	coupant|lame|raser|rasoir|tranchant
🪓	hache	bois|bûcheron|fendre|hache|hachette
🪔	diya	ārtī|Diwali|diya|fête inde|huile|lampe|lampe à beurre|lampe inde
🪕	banjo	banjo|cordes|instrument|instrument à cordes|musique
🪖	casque militaire	armée|casque|équipement|guerre|guerrier|militaire|protection|soldat
🪗	accordéon	accordéon|bandonéon|concert|concertina|instrument|mélodie|musique|piano à bretelles
🪘	djembé	battement|conga|djembé|instrument|musique|percussions|rythme|tambour
🪙	pièce	argent|euro|fortune|métal|or|pièce|pièce de monnaie|riche|sou|trésor
🪚	scie	bois|outil|scie|scie à bois|scie égoïne|scier
🪛	tournevis	outil|outillage|tournevis|vis
🪜	échelle	ascension|barreau|échelle|échelon|escabeau|grimper|monter
🪝	crochet	accrocher|appâter|attraper|capitaine|crochet|ferrer|hameçon|hameçonner
🪞	miroir	beauté|glace|image|maquillage|miroir|psyché|reflet
🪟	fenêtre	air frais|cadre|carreaux|fenêtre|ouverture|transparent|vitre|vue
🪠	ventouse	bouché|déboucheur|dégorgement|outil|plombier|succion|toilettes|ventouse
🪡	aiguille à coudre	aiguille à coudre|broderie|coudre|couture|fil à coudre|points|suture|tailleur
🪢	nœud	attacher|corde|entrelacer|lien|nœud|noué|tordre
🪣	seau	conteneur|plage|seau
🪤	tapette à souris	apât|appât|fromage|leurre|piège|piège à souris|rat|tapette|tapette à souris
🪥	brosse à dents	brosse|brosse à dents|brosser les dents|dentaire|dents|hygiène|laver|laver les dents|salle de bain
🪦	pierre tombale	cimetière|enterrement|funérailles|mémorial|mort|pierre tombale|RIP|sépulture|stèle|tombe
🪧	pancarte	affiche|écriteau|grève|manifestation|pancarte|panneau|protestation|signe
🪨	rocher	caillou|dur|lourd|pierre|roc|roche|rocher|solide
🪩	boule à facettes	boule à facettes|briller|danse|disco|fête|soirée
🪪	carte d’identité	carte d’identité|justificatif|papiers|permis de conduire|pièce d’identité|sécurité
🪫	pile faible	batterie|batterie faible|déchargé|électronique|énergie faible|pile faible
🪬	main de Fatma	amulette|chance|Fatma|hamsa|khamsa|main de Fatma|Myriam|protection
🪭	éventail	agiter|chaleur|charmer|chaud|danse|danser|éventail|éventer|rafraîchir|timide
🪮	peigne afro	afro|cheveux|démêler|démêloir|peigne|peigner
🪯	khanda	deg tegh fateh|foi|khalsa|khanda|religion|sikh|sikhisme
🪰	mouche	animal|asticot|insecte|maladie|mouche|nuisible|pourrissement|puanteur|putréfaction|tsé-tsé
🪱	lombric	animal|annélide|insecte|lombric|parasite|ver|ver de terre
🪲	scarabée	animal|insecte|scarabée
🪳	cafard	animal|blatte|cafard|coquerelle|insecte|nuisible
🪴	plante en pot	décoration|ennuyeux|faire pousser|intérieur|nature|plante|plante en pot|pousser|prendre soin
🪵	bois	arbre|bois|bûche|bûcheron|rondins|tronc
🪶	plume	écrire|écrivain|léger|oiseau|plumage|plume|voler
🪷	lotus	beauté|bouddhisme|calme|fleur|hindouisme|lotus|pureté|sérénité
🪸	corail	corail|océan|réchauffement climatique|récif
🪹	nid vide	branches|faire son nid|maison|nid|nid vide
🪺	nid avec œufs	branches|faire son nid|nid|nid avec œufs|oiseau
🪻	jacinthe	fleur|fleurir|indigo|jacinthe|lavande|lilas|lupin|mauve|muflier|plante|printemps|violet
🪼	méduse	aïe|animal|aquarium|brûlure|gélatineux|invertébré|marin|méduse|mer|mou|océan|piqûre|plancton|tentacules|vie marine
🪽	aile	aile|angélique|aviation|céleste|mythologie|oiseau|s’élever|s’envoler|voler
🪾	arbre sans feuille	arbre sans feuille|aride|hiver|sécheresse
🪿	oie	animal|bête|cacarder|canard|jars|oie|oiseau|troupeau|volaille|volée
🫀	cœur	anatomie|battement de coeur|battements|cardiologie|cœur|organe|pouls|pulsation
🫁	poumons	anatomie|expiration|inspiration|organe|poumons|respiration|respirer|souffle
🫂	étreinte	accolade|amitié|au revoir|bonjour|câlin|embrassades|étreinte|gratitude|merci|personne
🫃	homme enceint	enceinte|grossesse|homme enceint|homme enceinte|personne enceinte|trop mangé|ventre
🫄	personne enceinte	enceinte|grossesse|personne enceinte|trop mangé|ventre
🫅	personne avec une couronne	monarque|noble|personne avec une couronne|royal|royauté
🫆	empreinte digitale	dermatoglyphe|données biométriques|empreinte digitale|identité|sécurité
🫎	élan	animal|bois|cervidé|élan|mammifère|orignal|ramure
🫏	âne	âne|animal|bourricot|mammifère|mule|têtu
🫐	myrtilles	airelles|baies|bleu|bleuets|fruit|myrtilles|nourriture|violet
🫑	poivron	légume|piment|poivron|poivron rouge|poivron vert
🫒	olive	aliment|apéritif|apéro|nourriture|olive|olivier|rameau
🫓	galette	arepa|galette|gordita|lavash|naan|nourriture|pain plat|pita
🫔	tamal	mexicain|nourriture|pamonha|papillote|tamal
🫕	fondue	bourguignonne|chocolat|fondue|fromage|plat|poêlon|savoyarde|ski|suisse|Suisse
🫖	théière	boisson|boisson chaude|infusion|thé|théière
🫗	verser un liquide	accident|boisson|eau|oups|renverser|verre|verser|verser un liquide|vider
🫘	haricots	haricot rouge|haricots|légume|légumineuse|nourriture|petit|rognon
🫙	bocal	bocal|condiments|conserver|pot|récipient|rien|sauce|vide
🫚	racine de gingembre	bière|épice|gingembre|naturel|racine|racine de gingembre|santé
🫛	cosse de petits pois	cosse|cosse de petits pois|edamame|fève|haricot|légume|légumineuse|pois|soja
🫜	légume-racine	betterave|jardin|légume|navet|racine
🫟	éclaboussure	éclaboussure|holi|peinture|tache
🫠	visage qui fond	disparaître|fondre|gêne|liquéfié|liquide|sarcasme|se dissoudre|visage qui fond
🫡	visage qui fait un salut militaire	armée|bonne chance|compris|OK|oui|respect|salut|visage qui fait un salut militaire
🫢	visage avec yeux ouverts et main sur la bouche	choqué|embarrassé|étonné|gêné|impressionné|stupéfait|surpris|visage avec yeux ouverts et main sur la bouche
🫣	visage qui regarde entre ses doigts	captivé|effrayé|fasciné|jeter un coup d’œil|regarder fixement|se cacher|timide|visage qui regarde entre ses doigts
🫤	visage avec bouche en diagonale	bof|confus|déçu|euh|frustration|incertain|sceptique|visage avec bouche en diagonale
🫥	visage en pointillés	déprimé|disparaître|introverti|invisible|se cacher|visage en pointillés
🫦	lèvres qui se mordent	anxieux|flirt|inquiet|lèvre mordue|lèvres qui se mordent|mal à l’aise|nerveux
🫧	bulles	bulle|bulles|propre|savon|sous l’eau
🫨	visage secoué	choc|étourdi|fou|omg|ouah|panique|secoué|surprenant|tremblement|tremblement de terre|vibration|visage secoué
🫩	visage avec des valises sous les yeux	ensommeilé|épuisé|fatigué|sommeil|visage avec des valises sous les yeux
🫰	main avec index et pouce croisés	amour|argent|cher|claquer des doigts|cœur|main avec index et pouce croisés
🫱	main vers la droite	droite|main vers la droite|serrer la main|tenir la main|vers la droite
🫲	main vers la gauche	gauche|main vers la gauche|serrer la main|tenir la main|vers la gauche
🫳	main paume vers le bas	chasser|choisir|faire partir|laisser tomber|main paume vers le bas|ouste|rejeter
🫴	main paume vers le haut	appeler de la main|attirer|faire venir|main paume vers le haut|offre
🫵	index pointant vers l’utilisateur	index pointant vers l’utilisateur|pointer|toi
🫶	mains qui forment un cœur	amour|cœur|mains qui forment un cœur
🫷	main qui pousse vers la gauche	arrêter|attendre|bloquer|gauche|halte|high five|main|main qui pousse vers la gauche|pousser|refuser|stop|tape m’en cinq|top là
🫸	main qui pousse vers la droite	arrêter|attendre|bloquer|droite|halte|high five|main|main qui pousse vers la droite|pousser|refuser|stop|tape m’en cinq|top là
